@relation mushrooms

@attribute type {p,e}
@attribute cap_shape {x,b,s,f,k,c}
@attribute cap_surface {s,y,f,g}
@attribute cap_color {n,y,w,g,e,p,b,u,c,r}
@attribute odor {p,a,l,n,f,c,y,s,m}
@attribute stalk_shape {e,t}
@attribute stalk_color_above_ring {w,g,p,n,b,e,o,c,y}
@attribute stalk_color_below_ring {w,p,g,b,n,e,y,o,c}
@attribute ring_number {o,t,n}
@attribute ring_type {p,e,l,f,n}
@attribute population {s,n,a,v,y,c}
@attribute habitat {u,g,m,d,p,w,l}

@data
e,x,s,n,n,t,w,w,o,e,s,g
e,b,s,w,a,e,w,w,o,p,s,g
e,x,s,w,l,e,w,w,o,p,s,g
e,f,y,n,l,e,w,w,o,p,y,g
e,s,f,n,n,e,w,w,o,p,v,u
e,x,f,n,n,e,w,w,o,p,y,u
e,b,s,w,l,e,w,w,o,p,s,g
e,x,y,y,a,e,w,w,o,p,s,g
e,x,y,y,l,e,w,w,o,p,n,m
e,x,s,n,n,t,w,w,o,e,a,g
e,x,s,w,a,e,w,w,o,p,s,g
e,f,y,n,l,e,w,w,o,p,s,g
e,x,s,y,a,e,w,w,o,p,n,g
e,b,s,w,a,e,w,w,o,p,s,g
e,x,y,w,a,e,w,w,o,p,s,g
e,x,f,n,n,t,w,w,o,e,s,g
e,b,s,y,l,e,w,w,o,p,n,g
e,f,y,y,l,e,w,w,o,p,s,g
e,x,y,y,a,e,w,w,o,p,y,p
e,b,y,w,l,e,w,w,o,p,n,g
e,x,y,y,a,e,w,w,o,p,n,m
e,x,y,y,a,e,w,w,o,p,y,g
e,b,y,w,l,e,w,w,o,p,s,m
e,b,y,w,a,e,w,w,o,p,s,m
e,x,s,y,a,e,w,w,o,p,n,m
e,x,s,y,l,e,w,w,o,p,n,g
e,s,f,g,n,e,w,w,o,p,y,u
e,x,f,w,a,t,w,w,o,p,v,d
e,x,s,y,a,e,w,w,o,p,n,m
p,x,y,w,p,e,w,w,o,p,v,u
e,x,y,y,l,e,w,w,o,p,s,g
e,s,f,g,n,e,w,w,o,p,y,u
e,x,y,y,l,e,w,w,o,p,y,g
e,x,s,y,l,t,w,w,o,p,v,d
e,s,f,n,n,e,w,w,o,p,y,u
p,x,s,w,p,e,w,w,o,p,v,g
e,x,y,w,a,e,w,w,o,p,n,m
p,f,y,n,p,e,w,w,o,p,v,g
e,f,s,g,n,t,w,w,o,e,a,g
e,x,s,y,l,e,w,w,o,p,s,m
e,x,s,w,n,t,w,w,o,e,s,g
e,b,s,y,a,e,w,w,o,p,n,g
e,f,f,g,n,t,w,w,o,e,a,g
e,x,s,w,l,e,w,w,o,p,n,g
e,b,s,w,l,e,w,w,o,p,s,m
e,b,s,w,l,e,w,w,o,p,s,g
e,b,y,w,l,e,w,w,o,p,s,m
e,f,s,w,l,t,w,w,o,p,v,d
e,x,y,y,l,e,w,w,o,p,s,m
e,f,s,w,a,t,w,w,o,p,v,d
p,x,y,w,p,e,w,w,o,p,v,u
e,f,f,w,l,t,w,w,o,p,v,d
e,x,y,y,a,e,w,w,o,p,s,g
p,x,s,n,p,e,w,w,o,p,v,g
e,b,s,y,l,e,w,w,o,p,n,g
e,x,y,n,a,e,w,w,o,p,y,p
e,b,y,y,l,e,w,w,o,p,n,m
e,s,f,n,n,e,w,w,o,p,v,u
e,f,y,n,a,e,w,w,o,p,y,p
e,x,y,y,a,e,w,w,o,p,n,g
e,x,f,g,n,t,w,w,o,e,s,g
e,f,f,w,n,t,w,w,o,e,a,g
e,x,y,y,l,e,w,w,o,p,n,m
e,b,s,y,l,e,w,w,o,p,n,g
e,b,y,w,a,e,w,w,o,p,n,m
e,x,y,w,a,e,w,w,o,p,s,g
e,x,s,n,n,t,w,w,o,e,a,g
e,x,y,w,l,e,w,w,o,p,s,g
e,s,f,n,n,e,w,w,o,p,v,u
e,x,s,w,a,t,w,w,o,p,v,d
e,x,y,n,l,e,w,w,o,p,s,g
e,b,y,y,a,e,w,w,o,p,n,g
e,x,y,w,a,e,w,w,o,p,n,g
e,b,y,w,a,e,w,w,o,p,s,m
e,b,s,y,a,e,w,w,o,p,s,g
e,b,s,y,l,e,w,w,o,p,s,m
e,b,y,y,a,e,w,w,o,p,n,g
e,x,f,n,n,e,w,w,o,p,y,u
e,f,y,n,l,e,w,w,o,p,y,g
e,x,y,w,a,e,w,w,o,p,s,g
e,f,y,y,l,e,w,w,o,p,y,p
e,b,s,w,a,e,w,w,o,p,s,g
e,b,s,w,a,e,w,w,o,p,s,m
e,x,y,n,l,e,w,w,o,p,y,g
e,b,s,w,a,e,w,w,o,p,s,g
e,x,f,g,n,e,w,w,o,p,y,u
e,b,s,y,l,e,w,w,o,p,s,g
e,x,f,y,l,t,w,w,o,p,v,d
e,b,y,y,a,e,w,w,o,p,s,g
e,f,y,y,l,e,w,w,o,p,s,g
e,b,y,w,l,e,w,w,o,p,n,m
e,b,y,w,a,e,w,w,o,p,n,m
e,b,y,y,a,e,w,w,o,p,s,g
e,x,y,y,l,e,w,w,o,p,n,m
e,b,s,y,l,e,w,w,o,p,n,g
p,x,y,w,p,e,w,w,o,p,v,u
e,s,f,n,n,e,w,w,o,p,y,u
e,f,f,n,n,e,w,w,o,p,v,u
e,x,s,y,a,e,w,w,o,p,s,m
e,f,y,n,a,e,w,w,o,p,s,p
p,x,y,w,p,e,w,w,o,p,s,g
e,b,s,w,l,e,w,w,o,p,s,m
e,f,f,g,n,e,w,w,o,p,v,u
e,b,y,y,l,e,w,w,o,p,n,g
e,x,y,n,a,e,w,w,o,p,y,p
e,x,f,w,n,t,w,w,o,e,s,g
e,x,s,w,l,t,w,w,o,p,v,d
e,b,s,w,l,e,w,w,o,p,s,m
e,f,s,y,a,t,w,w,o,p,v,d
e,x,s,y,a,e,w,w,o,p,n,m
e,f,f,g,n,e,w,w,o,p,y,u
e,b,s,y,a,e,w,w,o,p,s,g
e,x,s,w,l,e,w,w,o,p,n,m
e,x,y,w,l,e,w,w,o,p,s,m
e,f,s,w,a,t,w,w,o,p,v,d
e,x,y,y,l,e,w,w,o,p,s,g
e,b,s,w,l,e,w,w,o,p,s,g
e,x,s,w,a,e,w,w,o,p,n,g
e,x,f,w,n,t,w,w,o,e,s,g
e,f,y,n,l,e,w,w,o,p,y,p
p,x,s,w,p,e,w,w,o,p,v,u
e,b,s,w,a,e,w,w,o,p,n,g
e,b,s,w,a,e,w,w,o,p,s,m
e,b,y,w,l,e,w,w,o,p,n,g
e,b,y,w,a,e,w,w,o,p,n,g
e,x,s,y,a,e,w,w,o,p,s,g
e,b,s,w,l,e,w,w,o,p,n,m
e,x,f,y,a,t,w,w,o,p,v,d
e,x,f,g,n,e,w,w,o,p,y,u
e,f,y,y,a,e,w,w,o,p,s,g
e,b,s,w,l,e,w,w,o,p,n,m
e,x,s,y,a,e,w,w,o,p,s,g
e,x,y,y,a,e,w,w,o,p,s,g
e,x,y,w,l,e,w,w,o,p,s,g
e,s,f,g,n,e,w,w,o,p,v,u
e,x,s,w,a,e,w,w,o,p,n,m
p,x,s,w,p,e,w,w,o,p,s,g
e,x,y,y,a,e,w,w,o,p,s,g
e,f,f,w,a,t,w,w,o,p,v,d
e,x,y,w,l,e,w,w,o,p,n,m
e,b,y,w,l,e,w,w,o,p,s,g
e,x,s,w,a,e,w,w,o,p,n,g
e,x,s,y,a,e,w,w,o,p,s,g
p,x,y,n,p,e,w,w,o,p,v,u
e,b,s,y,a,e,w,w,o,p,n,g
e,x,f,g,n,e,w,w,o,p,y,u
p,x,y,w,p,e,w,w,o,p,s,u
e,x,y,y,l,e,w,w,o,p,y,p
e,f,f,n,n,e,w,w,o,p,v,u
e,b,s,w,l,e,w,w,o,p,n,g
e,x,f,w,l,t,w,w,o,p,v,d
e,x,y,w,l,e,w,w,o,p,s,g
e,b,y,y,l,e,w,w,o,p,s,g
e,x,y,y,l,e,w,w,o,p,s,g
e,f,y,y,a,e,w,w,o,p,s,p
e,f,y,y,a,e,w,w,o,p,y,p
e,x,s,w,l,e,w,w,o,p,s,g
e,x,s,w,a,e,w,w,o,p,n,m
p,x,s,w,p,e,w,w,o,p,v,u
e,f,f,w,a,t,w,w,o,p,v,d
e,x,s,w,l,e,w,w,o,p,s,g
e,x,s,w,l,t,w,w,o,p,v,d
e,x,y,w,a,e,w,w,o,p,s,m
e,f,y,y,l,e,w,w,o,p,y,p
e,x,s,n,n,t,w,w,o,e,s,g
e,f,y,y,a,e,w,w,o,p,y,g
p,x,s,n,p,e,w,w,o,p,s,g
e,s,f,n,n,e,w,w,o,p,v,u
e,b,y,y,l,e,w,w,o,p,s,m
e,b,s,w,l,e,w,w,o,p,s,g
e,b,y,w,l,e,w,w,o,p,n,m
e,f,f,n,n,e,w,w,o,p,v,u
e,x,s,w,a,e,w,w,o,p,n,m
e,b,y,w,l,e,w,w,o,p,n,g
e,b,y,w,a,e,w,w,o,p,n,m
e,f,y,n,l,e,w,w,o,p,s,g
p,x,y,w,p,e,w,w,o,p,v,g
e,x,s,w,a,e,w,w,o,p,n,g
e,x,y,w,a,e,w,w,o,p,s,m
e,f,f,w,l,t,w,w,o,p,v,d
e,f,f,g,n,e,w,w,o,p,v,u
e,f,s,g,n,t,w,w,o,e,a,g
e,x,y,y,a,e,w,w,o,p,s,m
e,b,s,w,a,e,w,w,o,p,s,m
p,f,y,n,p,e,w,w,o,p,s,u
e,x,s,w,l,e,w,w,o,p,n,m
p,f,s,n,p,e,w,w,o,p,v,u
e,x,y,w,l,e,w,w,o,p,s,g
e,x,y,y,a,e,w,w,o,p,n,m
e,f,y,y,a,e,w,w,o,p,s,p
e,x,y,n,a,e,w,w,o,p,s,p
e,f,y,n,a,e,w,w,o,p,y,g
e,x,y,w,a,e,w,w,o,p,n,m
e,f,f,n,n,t,w,w,o,e,s,g
e,x,s,y,l,e,w,w,o,p,n,m
p,x,y,w,p,e,w,w,o,p,s,g
e,b,y,y,a,e,w,w,o,p,n,m
e,s,f,n,n,e,w,w,o,p,v,u
e,x,s,y,l,e,w,w,o,p,s,m
e,b,y,w,l,e,w,w,o,p,n,m
e,f,y,n,a,e,w,w,o,p,s,g
e,b,y,y,a,e,w,w,o,p,s,m
e,b,y,w,a,e,w,w,o,p,s,g
e,x,y,n,l,e,w,w,o,p,y,p
e,f,f,g,n,e,w,w,o,p,y,u
e,x,f,g,n,e,w,w,o,p,y,u
e,b,y,y,l,e,w,w,o,p,s,g
e,x,s,y,l,e,w,w,o,p,s,m
e,b,y,w,l,e,w,w,o,p,s,g
e,x,s,w,a,e,w,w,o,p,s,m
e,b,s,y,a,e,w,w,o,p,n,m
e,x,s,y,a,e,w,w,o,p,s,m
e,x,f,g,n,t,w,w,o,e,s,g
e,f,s,y,a,t,w,w,o,p,v,d
p,x,y,w,p,e,w,w,o,p,s,g
e,x,f,w,n,t,w,w,o,e,a,g
e,b,y,w,a,e,w,w,o,p,s,g
e,x,s,y,l,t,w,w,o,p,v,d
e,b,y,w,a,e,w,w,o,p,s,g
e,x,y,w,l,e,w,w,o,p,s,g
e,x,f,n,n,t,g,p,o,p,y,d
e,b,y,w,l,e,w,w,o,p,s,m
e,x,s,y,l,e,w,w,o,p,n,m
e,f,y,n,a,e,w,w,o,p,y,g
e,x,f,w,n,t,w,w,o,e,s,g
e,x,s,y,l,e,w,w,o,p,s,g
p,x,y,w,p,e,w,w,o,p,v,g
e,x,y,y,l,e,w,w,o,p,s,g
e,x,f,w,a,t,w,w,o,p,v,d
e,b,s,y,a,e,w,w,o,p,n,g
p,x,y,w,p,e,w,w,o,p,v,u
e,x,s,y,a,t,w,w,o,p,v,d
e,x,y,w,a,e,w,w,o,p,n,m
e,x,f,w,l,t,w,w,o,p,v,d
e,f,s,w,l,t,w,w,o,p,v,d
e,x,y,y,l,e,w,w,o,p,s,m
e,f,f,y,a,t,w,w,o,p,v,d
e,x,s,w,a,e,w,w,o,p,s,g
e,b,y,y,a,e,w,w,o,p,s,m
e,x,y,n,l,e,w,w,o,p,s,p
e,b,y,w,l,e,w,w,o,p,n,g
e,x,s,y,a,e,w,w,o,p,s,m
p,x,y,n,p,e,w,w,o,p,v,u
e,b,s,y,l,e,w,w,o,p,n,g
e,b,y,w,a,e,w,w,o,p,n,g
p,x,y,n,p,e,w,w,o,p,v,u
e,b,s,w,l,e,w,w,o,p,s,m
e,b,y,y,l,e,w,w,o,p,n,m
e,b,y,y,a,e,w,w,o,p,s,g
e,x,y,w,l,e,w,w,o,p,n,g
e,x,f,n,n,t,p,w,o,p,y,d
e,x,y,n,a,e,w,w,o,p,y,g
e,b,s,y,l,e,w,w,o,p,s,g
e,x,f,g,n,e,w,w,o,p,v,u
e,x,y,n,l,e,w,w,o,p,y,g
e,x,s,w,a,e,w,w,o,p,s,g
e,b,y,w,a,e,w,w,o,p,n,g
e,x,s,y,a,e,w,w,o,p,s,m
e,f,f,y,a,t,w,w,o,p,v,d
e,b,y,y,l,e,w,w,o,p,s,g
e,x,f,n,n,t,w,w,o,e,a,g
e,x,f,y,l,t,w,w,o,p,v,d
e,x,s,y,a,e,w,w,o,p,n,m
e,f,s,g,n,t,w,w,o,e,s,g
e,x,f,n,n,e,w,w,o,p,y,u
e,f,s,g,n,t,w,w,o,e,a,g
e,f,y,n,a,e,w,w,o,p,s,p
e,b,y,w,a,e,w,w,o,p,s,g
e,b,s,y,a,e,w,w,o,p,s,m
e,x,y,y,l,e,w,w,o,p,s,p
e,s,f,g,n,e,w,w,o,p,v,u
e,f,y,n,a,e,w,w,o,p,y,p
p,x,y,n,p,e,w,w,o,p,s,u
e,x,y,y,a,e,w,w,o,p,y,p
e,x,y,y,a,e,w,w,o,p,s,g
e,x,f,n,n,t,w,w,o,e,s,g
e,x,f,n,n,t,w,w,o,e,a,g
e,f,s,n,n,t,w,w,o,e,a,g
e,f,y,n,a,e,w,w,o,p,s,p
e,x,s,y,a,e,w,w,o,p,n,g
e,f,f,n,n,e,w,w,o,p,v,u
e,x,y,y,a,e,w,w,o,p,s,p
e,x,f,y,a,t,w,w,o,p,v,d
e,b,y,y,a,e,w,w,o,p,n,g
e,x,f,g,n,t,w,w,o,e,s,g
e,x,y,y,a,e,w,w,o,p,s,g
e,f,y,n,l,e,w,w,o,p,y,g
e,x,s,y,a,e,w,w,o,p,s,m
e,s,f,n,n,e,w,w,o,p,y,u
e,x,s,w,a,e,w,w,o,p,s,m
e,b,s,w,l,e,w,w,o,p,n,g
e,s,f,n,n,e,w,w,o,p,y,u
e,b,y,y,l,e,w,w,o,p,n,m
e,x,y,y,l,e,w,w,o,p,n,g
e,b,y,y,a,e,w,w,o,p,s,g
p,x,y,n,p,e,w,w,o,p,s,u
e,x,s,w,n,t,w,w,o,e,s,g
e,x,y,w,a,e,w,w,o,p,s,m
e,b,s,w,a,e,w,w,o,p,n,g
e,x,f,n,n,t,g,w,o,p,y,d
p,x,s,n,p,e,w,w,o,p,s,u
e,x,y,n,l,e,w,w,o,p,y,p
e,x,s,n,n,t,w,w,o,e,a,g
e,b,y,y,l,e,w,w,o,p,n,m
e,x,s,y,a,e,w,w,o,p,n,m
e,b,s,y,a,e,w,w,o,p,s,m
e,x,s,y,l,e,w,w,o,p,n,m
e,b,y,w,a,e,w,w,o,p,n,g
e,x,f,g,n,e,w,w,o,p,v,u
e,f,y,n,a,e,w,w,o,p,s,g
e,x,f,g,n,t,w,w,o,e,a,g
e,x,s,w,l,e,w,w,o,p,n,m
e,x,y,y,l,e,w,w,o,p,s,m
e,x,f,g,n,e,w,w,o,p,v,u
p,x,s,n,p,e,w,w,o,p,s,u
e,b,y,w,l,e,w,w,o,p,n,g
e,b,y,w,a,e,w,w,o,p,n,m
p,x,y,n,p,e,w,w,o,p,v,u
e,b,s,y,l,e,w,w,o,p,s,m
e,x,s,w,l,e,w,w,o,p,s,m
e,x,y,y,l,e,w,w,o,p,s,m
e,b,y,y,l,e,w,w,o,p,n,g
e,x,s,w,a,e,w,w,o,p,s,m
e,x,s,w,a,e,w,w,o,p,s,g
e,x,y,n,l,e,w,w,o,p,y,p
e,x,s,w,a,e,w,w,o,p,s,m
e,x,s,n,n,t,w,w,o,e,s,g
e,x,y,n,l,e,w,w,o,p,s,p
e,x,y,y,l,e,w,w,o,p,y,g
p,x,y,n,p,e,w,w,o,p,v,g
e,b,y,y,a,e,w,w,o,p,n,g
e,x,f,w,l,t,w,w,o,p,v,d
p,x,s,n,p,e,w,w,o,p,s,u
e,x,y,y,l,e,w,w,o,p,n,g
e,f,f,g,n,t,w,w,o,e,a,g
e,x,y,w,l,e,w,w,o,p,s,g
e,b,y,w,a,e,w,w,o,p,s,m
p,x,y,n,p,e,w,w,o,p,s,u
e,f,y,n,l,e,w,w,o,p,s,g
e,x,s,w,l,e,w,w,o,p,n,m
e,x,s,w,a,t,w,w,o,p,v,d
e,f,y,n,a,e,w,w,o,p,y,p
e,b,s,w,a,e,w,w,o,p,n,m
e,x,s,w,n,t,w,w,o,e,a,g
e,f,f,g,n,e,w,w,o,p,v,u
e,x,y,w,a,e,w,w,o,p,s,g
e,x,y,y,l,e,w,w,o,p,y,g
e,b,s,y,l,e,w,w,o,p,s,g
e,b,s,y,l,e,w,w,o,p,s,g
e,f,s,w,l,t,w,w,o,p,v,d
e,b,s,w,a,e,w,w,o,p,n,m
e,x,f,y,a,t,w,w,o,p,v,d
e,x,y,w,l,e,w,w,o,p,n,m
e,b,y,y,l,e,w,w,o,p,n,m
e,x,y,n,a,e,w,w,o,p,y,p
e,x,y,w,l,e,w,w,o,p,s,m
e,x,y,w,l,e,w,w,o,p,s,m
e,x,y,y,a,e,w,w,o,p,y,p
e,x,y,w,l,e,w,w,o,p,n,m
e,x,s,y,l,e,w,w,o,p,n,m
e,x,y,n,l,e,w,w,o,p,s,g
e,x,s,w,l,e,w,w,o,p,n,g
e,f,y,n,l,e,w,w,o,p,s,g
e,b,s,w,l,e,w,w,o,p,s,m
e,x,f,n,n,t,g,p,o,p,y,d
e,x,y,w,l,e,w,w,o,p,s,m
e,b,s,w,l,e,w,w,o,p,n,g
e,b,s,y,l,e,w,w,o,p,n,m
e,x,f,y,l,t,w,w,o,p,v,d
e,b,s,w,l,e,w,w,o,p,n,m
e,x,s,g,n,t,w,w,o,e,a,g
e,b,s,w,a,e,w,w,o,p,n,g
e,b,s,y,l,e,w,w,o,p,s,m
e,f,y,y,a,e,w,w,o,p,y,p
e,f,y,n,a,e,w,w,o,p,y,p
e,x,s,w,a,e,w,w,o,p,s,m
e,f,y,y,l,e,w,w,o,p,s,g
e,b,s,w,a,e,w,w,o,p,s,g
e,x,y,y,a,e,w,w,o,p,n,m
e,x,f,n,n,e,w,w,o,p,v,u
e,f,y,n,a,e,w,w,o,p,y,g
e,x,s,w,a,e,w,w,o,p,n,m
e,x,s,y,l,e,w,w,o,p,n,g
e,b,y,y,l,e,w,w,o,p,n,g
e,f,y,y,a,e,w,w,o,p,s,p
e,x,y,y,l,e,w,w,o,p,n,g
e,x,y,w,a,e,w,w,o,p,n,m
e,f,f,w,a,t,w,w,o,p,v,d
e,s,f,g,n,e,w,w,o,p,y,u
e,f,s,y,l,t,w,w,o,p,v,d
e,f,f,g,n,e,w,w,o,p,y,u
e,x,f,n,n,e,w,w,o,p,y,u
e,b,y,w,a,e,w,w,o,p,n,g
e,x,s,w,a,t,w,w,o,p,v,d
e,b,y,y,l,e,w,w,o,p,s,m
e,b,y,y,a,e,w,w,o,p,s,m
e,b,y,y,l,e,w,w,o,p,s,g
e,f,s,w,l,t,w,w,o,p,v,d
e,f,f,g,n,e,w,w,o,p,y,u
e,f,s,w,a,t,w,w,o,p,v,d
e,f,y,y,a,e,w,w,o,p,y,g
e,x,y,w,l,e,w,w,o,p,s,m
e,s,f,n,n,e,w,w,o,p,y,u
e,x,y,n,l,e,w,w,o,p,s,p
e,x,y,n,a,e,w,w,o,p,s,p
e,f,f,y,a,t,w,w,o,p,v,d
p,f,s,n,p,e,w,w,o,p,s,g
p,x,s,n,p,e,w,w,o,p,v,u
e,f,y,n,l,e,w,w,o,p,s,p
e,x,y,y,a,e,w,w,o,p,s,g
e,b,s,y,a,e,w,w,o,p,n,m
e,f,f,w,n,t,w,w,o,e,a,g
e,f,y,n,a,e,w,w,o,p,s,g
e,x,y,w,a,e,w,w,o,p,s,g
e,b,s,y,l,e,w,w,o,p,n,m
e,x,s,y,a,e,w,w,o,p,n,g
e,b,y,y,a,e,w,w,o,p,n,g
e,x,s,w,l,e,w,w,o,p,n,m
e,b,s,y,a,e,w,w,o,p,s,m
e,b,y,y,a,e,w,w,o,p,s,g
p,x,s,n,p,e,w,w,o,p,v,g
e,x,s,g,n,t,w,w,o,e,s,g
e,f,s,n,n,t,w,w,o,e,a,g
e,x,f,w,a,t,w,w,o,p,v,d
e,f,f,g,n,e,w,w,o,p,v,u
e,f,f,n,n,e,w,w,o,p,y,u
e,b,y,y,a,e,w,w,o,p,s,g
e,x,f,w,a,t,w,w,o,p,v,d
e,s,f,g,n,e,w,w,o,p,v,u
e,x,f,n,n,e,w,w,o,p,v,u
e,x,f,w,n,t,w,w,o,e,a,g
e,x,y,n,l,e,w,w,o,p,y,p
e,b,s,y,a,e,w,w,o,p,n,g
e,x,y,w,l,e,w,w,o,p,s,g
e,x,y,y,a,e,w,w,o,p,n,g
e,x,s,w,l,e,w,w,o,p,n,m
e,b,s,w,l,e,w,w,o,p,s,g
e,f,y,y,a,e,w,w,o,p,y,p
p,x,s,n,p,e,w,w,o,p,s,u
e,f,f,g,n,e,w,w,o,p,y,u
e,b,s,y,l,e,w,w,o,p,s,g
e,f,y,n,a,e,w,w,o,p,s,p
e,x,s,y,a,e,w,w,o,p,s,m
e,x,f,n,n,e,w,w,o,p,y,u
e,f,y,y,a,e,w,w,o,p,y,p
e,x,y,n,a,e,w,w,o,p,y,p
e,x,s,w,a,e,w,w,o,p,s,g
p,x,y,w,p,e,w,w,o,p,s,g
e,f,y,n,l,e,w,w,o,p,y,p
p,f,s,n,p,e,w,w,o,p,s,g
e,x,f,w,n,t,w,w,o,e,s,g
e,b,y,w,a,e,w,w,o,p,s,m
e,s,f,n,n,e,w,w,o,p,v,u
e,x,y,y,l,e,w,w,o,p,s,m
e,f,s,w,a,t,w,w,o,p,v,d
e,x,s,y,a,e,w,w,o,p,s,m
e,f,f,g,n,t,w,w,o,e,s,g
p,x,y,w,p,e,w,w,o,p,s,g
e,x,y,y,a,e,w,w,o,p,s,g
e,f,f,n,n,t,w,w,o,e,a,g
e,x,s,w,a,e,w,w,o,p,s,m
e,b,y,y,l,e,w,w,o,p,s,m
e,f,f,g,n,e,w,w,o,p,v,u
e,x,f,y,l,t,w,w,o,p,v,d
e,x,s,y,a,e,w,w,o,p,n,m
e,f,f,n,n,e,w,w,o,p,y,u
e,x,f,g,n,t,w,w,o,e,s,g
e,x,y,y,l,e,w,w,o,p,s,p
e,f,s,w,l,t,w,w,o,p,v,d
e,x,s,y,l,e,w,w,o,p,s,g
e,f,y,y,a,e,w,w,o,p,y,p
p,x,y,n,p,e,w,w,o,p,v,u
e,x,f,w,l,t,w,w,o,p,v,d
e,x,s,w,l,e,w,w,o,p,n,g
