age,workclass,education,marital-status,occupation,race,gender,hours-per-week,income
40-50,Private,Assoc-voc,Married-civ-spouse,Tech-support,White,0,20-40,<=50K
20-30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,0,20-40,<=50K
20-30,Private,Some-college,Separated,Handlers-cleaners,White,1,20-40,<=50K
40-50,Private,Some-college,Married-civ-spouse,Craft-repair,Other,0,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,0,40-60,<=50K
60-70,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,White,0,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Transport-moving,White,0,20-40,<=50K
0-20,Private,Some-college,Never-married,Adm-clerical,White,1,20-40,<=50K
40-50,Self-emp-inc,Some-college,Married-civ-spouse,Machine-op-inspct,White,0,40-60,<=50K
20-30,Private,Bachelors,Never-married,Exec-managerial,White,0,20-40,<=50K
20-30,Private,Some-college,Separated,Other-service,White,0,20-40,<=50K
40-50,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,White,0,40-60,>50K
30-40,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,White,0,40-60,<=50K
40-50,Private,HS-grad,Separated,Machine-op-inspct,White,1,40-60,<=50K
0-20,Federal-gov,11th,Never-married,Other-service,White,1,0-20,<=50K
50-60,Private,HS-grad,Married-civ-spouse,Sales,White,0,40-60,>50K
20-30,Federal-gov,Some-college,Never-married,Armed-Forces,White,0,20-40,<=50K
50-60,Private,Bachelors,Never-married,Exec-managerial,White,1,20-40,<=50K
40-50,Federal-gov,7th-8th,Never-married,Other-service,Black,0,0-20,<=50K
30-40,Private,Masters,Married-civ-spouse,Prof-specialty,White,1,0-20,>50K
50-60,Federal-gov,Bachelors,Divorced,Adm-clerical,White,0,20-40,<=50K
30-40,Private,Masters,Never-married,Other-service,Amer-Indian-Eskimo,0,20-40,<=50K
0-20,Private,HS-grad,Never-married,Handlers-cleaners,White,0,20-40,<=50K
20-30,Private,Bachelors,Never-married,Exec-managerial,White,1,20-40,<=50K
40-50,Private,10th,Married-civ-spouse,Farming-fishing,White,0,20-40,<=50K
50-60,Private,HS-grad,Married-civ-spouse,Transport-moving,White,0,20-40,>50K
0-20,Private,HS-grad,Never-married,Adm-clerical,White,1,20-40,<=50K
30-40,Private,Some-college,Never-married,Adm-clerical,Black,1,20-40,<=50K
20-30,Private,Some-college,Never-married,Transport-moving,Black,0,20-40,<=50K
50-60,Self-emp-not-inc,9th,Widowed,Other-service,White,1,20-40,<=50K
50-60,Local-gov,HS-grad,Widowed,Adm-clerical,White,1,20-40,<=50K
30-40,Private,10th,Separated,Machine-op-inspct,White,1,20-40,<=50K
40-50,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,White,0,20-40,<=50K
20-30,Private,HS-grad,Never-married,Transport-moving,White,0,20-40,<=50K
0-20,Private,Some-college,Never-married,Handlers-cleaners,Black,0,0-20,<=50K
0-20,Private,HS-grad,Never-married,Other-service,White,1,20-40,<=50K
0-20,Private,HS-grad,Never-married,Machine-op-inspct,White,1,40-60,<=50K
20-30,Private,Some-college,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
20-30,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,White,0,20-40,>50K
30-40,Private,Some-college,Married-civ-spouse,Handlers-cleaners,White,0,20-40,<=50K
20-30,Private,HS-grad,Never-married,Handlers-cleaners,White,0,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
20-30,Private,11th,Never-married,Other-service,White,1,20-40,<=50K
40-50,Private,HS-grad,Married-spouse-absent,Adm-clerical,White,1,20-40,<=50K
40-50,Private,Bachelors,Divorced,Sales,White,1,20-40,>50K
30-40,Local-gov,Bachelors,Divorced,Prof-specialty,White,1,40-60,<=50K
0-20,Private,Some-college,Never-married,Sales,White,1,20-40,<=50K
0-20,Private,Some-college,Never-married,Protective-serv,White,0,20-40,<=50K
40-50,Private,Some-college,Divorced,Tech-support,White,1,20-40,<=50K
40-50,Private,HS-grad,Divorced,Handlers-cleaners,White,1,20-40,<=50K
60-70,Private,HS-grad,Divorced,Adm-clerical,White,1,20-40,<=50K
40-50,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,White,1,20-40,>50K
20-30,Private,HS-grad,Never-married,Prof-specialty,White,0,20-40,<=50K
20-30,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,0,40-60,>50K
40-50,Private,Masters,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
40-50,Private,Some-college,Married-civ-spouse,Adm-clerical,White,0,20-40,<=50K
20-30,Private,HS-grad,Never-married,Craft-repair,Black,1,20-40,<=50K
40-50,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
50-60,Private,HS-grad,Married-civ-spouse,Craft-repair,Black,0,40-60,<=50K
20-30,Private,Assoc-acdm,Never-married,Prof-specialty,White,1,20-40,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Sales,White,0,40-60,>50K
40-50,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Black,0,20-40,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,1,20-40,<=50K
20-30,Private,10th,Married-civ-spouse,Farming-fishing,White,0,20-40,<=50K
40-50,Private,Masters,Married-civ-spouse,Prof-specialty,White,0,20-40,<=50K
0-20,Private,Some-college,Never-married,Adm-clerical,Asian-Pac-Islander,1,20-40,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
40-50,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
30-40,Private,Masters,Never-married,Prof-specialty,White,1,20-40,<=50K
40-50,Self-emp-not-inc,HS-grad,Widowed,Exec-managerial,White,1,20-40,<=50K
40-50,Private,Assoc-voc,Widowed,Exec-managerial,White,1,20-40,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Sales,White,0,20-40,>50K
50-60,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
0-20,Private,HS-grad,Never-married,Sales,White,0,20-40,<=50K
20-30,Private,Some-college,Never-married,Other-service,Black,0,0-20,<=50K
20-30,Private,11th,Married-civ-spouse,Other-service,Black,1,20-40,<=50K
40-50,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,White,0,0-20,<=50K
20-30,Private,11th,Never-married,Craft-repair,White,0,20-40,<=50K
30-40,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,White,0,40-60,>50K
20-30,Private,Some-college,Never-married,Adm-clerical,White,1,20-40,<=50K
20-30,Local-gov,HS-grad,Never-married,Craft-repair,White,0,20-40,<=50K
20-30,Private,Bachelors,Never-married,Sales,White,0,20-40,<=50K
40-50,Private,Some-college,Never-married,Handlers-cleaners,Black,1,20-40,<=50K
30-40,Self-emp-inc,Bachelors,Divorced,Exec-managerial,White,0,20-40,<=50K
50-60,Private,11th,Married-civ-spouse,Other-service,White,0,20-40,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Sales,White,0,20-40,<=50K
20-30,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,40-60,<=50K
20-30,Private,Bachelors,Never-married,Sales,White,0,20-40,<=50K
40-50,State-gov,Masters,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
30-40,Private,Some-college,Married-civ-spouse,Exec-managerial,White,0,20-40,>50K
50-60,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,0,0-20,>50K
40-50,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,40-60,<=50K
0-20,Private,HS-grad,Never-married,Handlers-cleaners,White,0,20-40,<=50K
50-60,Local-gov,HS-grad,Divorced,Exec-managerial,White,0,20-40,<=50K
50-60,Private,HS-grad,Married-civ-spouse,Prof-specialty,White,0,20-40,>50K
30-40,Private,Masters,Never-married,Prof-specialty,White,0,20-40,<=50K
20-30,Private,Bachelors,Never-married,Adm-clerical,White,1,20-40,<=50K
60-70,Private,12th,Married-civ-spouse,Exec-managerial,White,0,40-60,<=50K
40-50,Local-gov,Masters,Separated,Adm-clerical,Black,1,20-40,<=50K
30-40,Private,Some-college,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
20-30,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,White,0,40-60,<=50K
30-40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,White,0,20-40,<=50K
30-40,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,White,0,40-60,>50K
30-40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,White,0,20-40,>50K
30-40,Private,Masters,Never-married,Exec-managerial,White,0,20-40,<=50K
50-60,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,White,0,20-40,>50K
30-40,Private,Bachelors,Widowed,Exec-managerial,White,1,40-60,<=50K
40-50,Private,HS-grad,Divorced,Sales,Black,1,20-40,<=50K
50-60,Private,HS-grad,Divorced,Handlers-cleaners,White,0,40-60,<=50K
20-30,Private,HS-grad,Never-married,Machine-op-inspct,White,0,40-60,<=50K
30-40,State-gov,Bachelors,Married-spouse-absent,Farming-fishing,Black,0,20-40,<=50K
20-30,Private,HS-grad,Never-married,Other-service,White,1,40-60,<=50K
30-40,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,0,20-40,>50K
30-40,Private,Bachelors,Separated,Prof-specialty,White,0,40-60,>50K
40-50,Private,Some-college,Divorced,Adm-clerical,Black,1,20-40,<=50K
20-30,Private,HS-grad,Never-married,Prof-specialty,Black,1,40-60,<=50K
30-40,Private,Some-college,Divorced,Exec-managerial,White,1,20-40,<=50K
40-50,Private,Some-college,Never-married,Transport-moving,White,0,40-60,<=50K
40-50,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,White,1,40-60,>50K
0-20,Private,HS-grad,Never-married,Machine-op-inspct,White,1,20-40,<=50K
20-30,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,0,20-40,>50K
50-60,Local-gov,Some-college,Married-civ-spouse,Protective-serv,White,0,20-40,>50K
20-30,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,0,40-60,<=50K
50-60,Private,Bachelors,Divorced,Craft-repair,White,0,40-60,<=50K
40-50,Local-gov,Bachelors,Divorced,Prof-specialty,White,1,20-40,<=50K
40-50,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,White,0,20-40,>50K
30-40,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,White,0,40-60,<=50K
40-50,Private,7th-8th,Married-civ-spouse,Craft-repair,Black,0,20-40,<=50K
70-80,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,White,0,0-20,<=50K
30-40,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,1,40-60,>50K
30-40,Private,Some-college,Married-civ-spouse,Sales,White,0,40-60,>50K
0-20,Private,11th,Never-married,Sales,White,0,0-20,<=50K
20-30,Private,Some-college,Never-married,Other-service,White,1,40-60,<=50K
30-40,Federal-gov,Assoc-voc,Divorced,Craft-repair,White,1,20-40,<=50K
30-40,Private,Bachelors,Married-civ-spouse,Transport-moving,White,0,20-40,<=50K
20-30,Private,Bachelors,Never-married,Tech-support,Black,1,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,0,20-40,<=50K
30-40,Federal-gov,HS-grad,Never-married,Other-service,White,0,20-40,<=50K
20-30,Private,5th-6th,Never-married,Machine-op-inspct,White,0,20-40,<=50K
30-40,Private,Assoc-voc,Separated,Craft-repair,White,0,20-40,<=50K
20-30,Private,Bachelors,Never-married,Exec-managerial,White,1,40-60,<=50K
30-40,Private,Bachelors,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,0,20-40,<=50K
20-30,Private,HS-grad,Never-married,Machine-op-inspct,Asian-Pac-Islander,1,20-40,<=50K
30-40,Private,HS-grad,Never-married,Craft-repair,White,0,20-40,<=50K
50-60,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,White,0,20-40,>50K
60-70,Local-gov,9th,Married-civ-spouse,Transport-moving,White,0,20-40,>50K
40-50,Private,Some-college,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
40-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,0,20-40,>50K
50-60,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,White,0,20-40,<=50K
0-20,Private,12th,Never-married,Priv-house-serv,White,0,20-40,<=50K
30-40,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,0,40-60,<=50K
50-60,Private,Masters,Never-married,Exec-managerial,Asian-Pac-Islander,1,40-60,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Tech-support,White,0,20-40,>50K
70-80,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,White,0,20-40,<=50K
30-40,Private,Assoc-voc,Divorced,Tech-support,White,1,40-60,<=50K
50-60,Private,Some-college,Married-civ-spouse,Tech-support,White,0,20-40,<=50K
40-50,Private,HS-grad,Never-married,Other-service,Black,1,20-40,<=50K
20-30,Private,Some-college,Never-married,Sales,White,1,20-40,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Transport-moving,White,0,20-40,<=50K
20-30,Local-gov,HS-grad,Never-married,Other-service,White,1,20-40,<=50K
50-60,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,0,40-60,<=50K
0-20,Private,Some-college,Never-married,Other-service,White,1,0-20,<=50K
60-70,Self-emp-not-inc,Some-college,Married-civ-spouse,Transport-moving,White,0,20-40,<=50K
20-30,Federal-gov,Some-college,Never-married,Adm-clerical,White,1,0-20,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,0,20-40,<=50K
20-30,Private,HS-grad,Married-civ-spouse,Sales,White,1,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Transport-moving,White,0,60-80,>50K
40-50,State-gov,HS-grad,Married-civ-spouse,Machine-op-inspct,White,0,20-40,<=50K
20-30,Private,Some-college,Never-married,Sales,White,0,0-20,<=50K
30-40,Private,Assoc-voc,Never-married,Craft-repair,White,0,40-60,<=50K
20-30,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,0,20-40,>50K
40-50,Federal-gov,Bachelors,Never-married,Prof-specialty,White,0,20-40,<=50K
20-30,Private,Bachelors,Never-married,Tech-support,White,0,40-60,<=50K
20-30,Private,Some-college,Never-married,Machine-op-inspct,White,0,20-40,<=50K
60-70,Federal-gov,Some-college,Divorced,Tech-support,Black,0,20-40,<=50K
30-40,Private,HS-grad,Never-married,Other-service,Black,1,20-40,<=50K
20-30,State-gov,HS-grad,Never-married,Other-service,White,0,20-40,<=50K
70-80,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,White,0,0-20,<=50K
40-50,Private,Some-college,Married-civ-spouse,Exec-managerial,White,1,40-60,<=50K
20-30,Local-gov,Masters,Never-married,Prof-specialty,White,0,20-40,<=50K
20-30,Private,Some-college,Never-married,Prof-specialty,White,1,20-40,<=50K
20-30,Private,Bachelors,Never-married,Adm-clerical,White,1,20-40,<=50K
20-30,Private,Masters,Never-married,Exec-managerial,White,1,20-40,<=50K
20-30,Private,Some-college,Married-civ-spouse,Handlers-cleaners,White,0,20-40,>50K
20-30,Private,10th,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
30-40,Private,11th,Married-civ-spouse,Sales,White,1,0-20,<=50K
20-30,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,0,60-80,<=50K
50-60,Private,10th,Married-civ-spouse,Transport-moving,White,0,20-40,>50K
60-70,Private,Some-college,Married-civ-spouse,Exec-managerial,White,1,20-40,>50K
40-50,State-gov,Masters,Never-married,Exec-managerial,White,0,20-40,<=50K
0-20,Private,HS-grad,Never-married,Other-service,Amer-Indian-Eskimo,1,20-40,<=50K
40-50,Private,HS-grad,Divorced,Other-service,Black,0,40-60,<=50K
0-20,Private,11th,Never-married,Handlers-cleaners,White,0,20-40,<=50K
50-60,Self-emp-inc,Bachelors,Married-civ-spouse,Craft-repair,White,0,40-60,>50K
0-20,Private,Some-college,Never-married,Protective-serv,Black,0,40-60,<=50K
30-40,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,White,0,20-40,>50K
30-40,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,0,20-40,>50K
20-30,Private,HS-grad,Never-married,Handlers-cleaners,White,1,20-40,<=50K
30-40,Private,Some-college,Divorced,Tech-support,White,1,20-40,<=50K
30-40,Private,Bachelors,Married-civ-spouse,Sales,Black,0,40-60,<=50K
40-50,Private,Some-college,Never-married,Machine-op-inspct,White,1,40-60,<=50K
20-30,Private,HS-grad,Never-married,Machine-op-inspct,Black,0,20-40,<=50K
40-50,Private,Some-college,Married-civ-spouse,Protective-serv,White,0,20-40,>50K
60-70,Federal-gov,Some-college,Married-civ-spouse,Transport-moving,Black,0,20-40,<=50K
20-30,Private,HS-grad,Never-married,Exec-managerial,Black,0,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
60-70,Private,10th,Married-civ-spouse,Handlers-cleaners,White,0,20-40,<=50K
20-30,Private,Some-college,Married-civ-spouse,Sales,White,0,20-40,<=50K
40-50,Private,10th,Divorced,Adm-clerical,White,1,20-40,<=50K
20-30,Private,Some-college,Married-civ-spouse,Other-service,White,0,20-40,<=50K
20-30,Private,HS-grad,Never-married,Machine-op-inspct,White,0,20-40,<=50K
20-30,Private,9th,Married-civ-spouse,Other-service,White,0,20-40,>50K
20-30,Private,HS-grad,Never-married,Sales,White,0,20-40,<=50K
30-40,Self-emp-not-inc,Assoc-voc,Never-married,Farming-fishing,White,0,40-60,>50K
20-30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,0,40-60,<=50K
30-40,Private,Some-college,Married-civ-spouse,Craft-repair,White,0,20-40,>50K
20-30,Private,11th,Never-married,Handlers-cleaners,White,0,20-40,<=50K
30-40,Local-gov,Some-college,Divorced,Adm-clerical,White,1,20-40,<=50K
20-30,Private,HS-grad,Divorced,Exec-managerial,White,1,20-40,<=50K
0-20,Private,Some-college,Never-married,Handlers-cleaners,White,0,0-20,<=50K
30-40,Local-gov,Bachelors,Never-married,Prof-specialty,Black,0,20-40,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,1,20-40,<=50K
20-30,Private,Bachelors,Never-married,Adm-clerical,White,0,20-40,<=50K
40-50,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
50-60,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Asian-Pac-Islander,0,80-100,<=50K
50-60,Local-gov,Assoc-acdm,Married-civ-spouse,Tech-support,White,0,40-60,>50K
20-30,Private,Some-college,Never-married,Handlers-cleaners,White,0,20-40,<=50K
50-60,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,White,0,40-60,<=50K
40-50,Private,Bachelors,Divorced,Exec-managerial,White,1,40-60,>50K
30-40,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,1,20-40,<=50K
50-60,Private,Some-college,Divorced,Craft-repair,White,0,40-60,>50K
0-20,Private,Some-college,Never-married,Sales,White,1,20-40,<=50K
30-40,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,0,20-40,>50K
60-70,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Black,0,20-40,>50K
20-30,Private,Some-college,Divorced,Protective-serv,White,0,20-40,<=50K
50-60,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,0,20-40,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
50-60,Private,1st-4th,Married-civ-spouse,Machine-op-inspct,White,0,20-40,<=50K
20-30,Private,HS-grad,Separated,Handlers-cleaners,White,0,20-40,<=50K
30-40,Private,Masters,Married-civ-spouse,Prof-specialty,White,0,40-60,<=50K
40-50,Local-gov,Masters,Divorced,Prof-specialty,White,1,40-60,<=50K
0-20,Private,11th,Never-married,Other-service,White,0,0-20,<=50K
40-50,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,White,0,40-60,>50K
60-70,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
0-20,Private,HS-grad,Never-married,Handlers-cleaners,White,0,0-20,<=50K
50-60,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,20-40,>50K
40-50,Private,HS-grad,Divorced,Adm-clerical,White,1,40-60,<=50K
30-40,Private,Masters,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
0-20,Private,HS-grad,Never-married,Sales,White,1,20-40,<=50K
40-50,Private,9th,Divorced,Other-service,White,1,40-60,<=50K
50-60,Private,10th,Widowed,Other-service,White,1,20-40,<=50K
30-40,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,0,60-80,<=50K
40-50,Private,Bachelors,Divorced,Exec-managerial,White,1,40-60,<=50K
20-30,Private,HS-grad,Married-civ-spouse,Transport-moving,White,0,20-40,>50K
30-40,Private,Bachelors,Never-married,Craft-repair,White,0,20-40,<=50K
30-40,Private,5th-6th,Married-civ-spouse,Other-service,White,0,20-40,<=50K
30-40,Private,Masters,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
60-70,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,0,20-40,>50K
20-30,Private,Bachelors,Never-married,Prof-specialty,White,1,40-60,>50K
30-40,Private,HS-grad,Divorced,Exec-managerial,Black,1,20-40,>50K
50-60,Private,7th-8th,Married-civ-spouse,Craft-repair,White,0,40-60,>50K
20-30,Private,HS-grad,Never-married,Other-service,White,1,20-40,<=50K
30-40,Private,Assoc-voc,Divorced,Craft-repair,White,0,20-40,<=50K
20-30,Private,HS-grad,Never-married,Handlers-cleaners,White,0,20-40,<=50K
30-40,Local-gov,HS-grad,Divorced,Adm-clerical,White,1,20-40,<=50K
30-40,Private,Some-college,Married-civ-spouse,Other-service,White,1,0-20,>50K
30-40,Private,HS-grad,Married-civ-spouse,Transport-moving,White,0,80-100,>50K
30-40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Black,0,40-60,>50K
30-40,Private,Bachelors,Never-married,Sales,White,0,40-60,<=50K
