@relation DeerHunter_missing

@attribute wtdeer numeric
@attribute state numeric
@attribute urban numeric
@attribute race numeric
@attribute retire numeric
@attribute employ numeric
@attribute educ numeric
@attribute married numeric
@attribute income numeric
@attribute gender numeric
@attribute age numeric
@attribute huntexp numeric
@attribute agehunt numeric
@attribute trips numeric
@attribute bagdeer numeric
@attribute numbag numeric
@attribute bagbuck numeric
@attribute avgcost numeric
@attribute totcost numeric
@attribute a numeric
@attribute yes numeric

@data
0.582937,26,3,1,0,1,21,0,5000,1,22,5,17,2,0,0,0,35,70,69,1
1.049285,16,3,1,0,1,12,1,22500,1,22,12,10,15,1,2,1,8,120,491,1
0.617376,26,1,1,0,1,21,1,15000,1,22,16,6,10,0,0,0,4,40,953,1
0.961562,50,2,1,2,0,24,0,15000,1,22,0,22,20,1,1,0,7,140,491,1
2.262848,50,2,1,0,1,12,1,22500,1,22,4,18,9,0,0,0,19,171,202,2
1.035939,29,2,1,4,0,12,0,62500,1,22,8,14,20,0,0,0,20,400,491,1
0.487562,13,2,1,2,0,12,1,15000,1,22,10,12,3,1,1,0,15,45,491,2
0.836537,13,3,1,0,1,12,0,27500,1,22,10,12,4,1,1,0,10,40,491,2
1.925771,5,2,1,2,0,23,0,15000,1,22,13,9,10,1,1,1,80,800,202,1
2.727035,5,2,1,0,1,21,0,15000,1,22,6,16,2,1,1,1,120,240,289,1
0.633905,18,3,1,2,0,20,1,5000,1,22,17,5,16,0,0,0,5,80,69,1
0.982579,34,3,1,0,1,12,0,22500,1,22,10,12,15,1,1,1,50,750,491,1
1.568995,43,3,1,2,0,10,1,5000,1,22,11,11,5,1,3,1,75,375,99,1
0.803038,43,3,1,0,1,12,1,40000,1,22,11,11,40,1,2,1,5,200,953,2
2.224315,44,1,1,2,0,25,0,22500,1,22,14,8,2,1,2,1,160,320,69,1
0.683421,25,1,1,2,0,20,0,5000,1,22,14,8,2,1,1,0,150,300,289,1
0.700359,25,3,1,0,1,12,1,15000,1,22,8,14,30,1,2,1,40,1200,289,1
0.700359,25,3,1,2,0,21,1,15000,1,22,15,7,16,1,4,1,100,1600,289,1
0.812005,19,2,1,0,1,12,0,15000,1,22,17,5,2,1,2,0,150,300,99,2
0.146582,35,2,1,2,0,23,1,5000,1,22,16,6,30,0,0,0,5,150,9,1
1.241852,37,3,1,0,1,12,1,22500,1,22,6,16,50,0,0,0,8,400,9,1
0.730395,37,3,1,0,1,12,1,40000,1,22,12,10,10,0,0,0,10,100,289,2
1.204236,37,2,1,0,1,12,1,15000,1,22,12,10,5,0,0,0,6,30,202,1
1.422935,6,1,1,0,1,12,0,40000,1,22,8,14,1,1,1,1,70,70,202,2
0.350148,45,2,1,0,1,21,1,15000,1,22,6,16,2,1,1,1,35,70,289,2
0.507758,27,2,1,0,1,24,0,15000,1,22,10,12,4,1,1,1,15,60,289,1
0.308994,51,2,1,0,1,12,1,15000,1,22,5,17,8,1,2,1,25,200,289,2
1.375271,45,2,1,2,0,22,0,5000,1,22,14,8,1,0,0,0,40,40,202,2
0.410213,28,2,1,0,1,24,0,85000,1,22,8,14,20,0,0,0,1,20,202,1
0.147815,35,2,1,0,1,22,0,22500,1,22,7,15,1,0,0,0,20,20,491,2
0.453556,42,2,1,0,1,21,1,27500,1,22,12,10,8,0,0,0,25,200,953,2
0.212488,42,2,1,2,0,24,0,5000,1,22,9,13,25,1,2,1,10,250,27,1
0.801322,37,2,1,0,1,23,1,15000,1,22,9,13,15,1,1,0,10,150,9,1
0.266705,27,2,1,0,1,22,0,5000,1,22,10,12,10,1,1,1,25,250,289,1
0.266705,27,3,1,0,1,24,0,5000,1,22,10,12,5,1,1,0,15,75,491,1
0.289506,20,2,1,0,1,12,1,15000,1,23,15,8,4,0,0,0,2.5,10,491,1
0.226616,30,2,1,0,1,12,1,40000,1,23,9,14,15,0,0,0,5,75,491,1
0.29417,20,2,1,0,1,12,0,15000,1,23,12,11,6,0,0,0,5,30,491,2
0.620982,20,2,1,4,0,20,1,22500,1,23,8,15,4,0,0,0,15,60,491,2
0.61994,20,3,0,0,1,21,1,40000,1,23,12,11,10,0,0,0,10,100,491,1
1.351319,33,2,1,0,1,12,1,40000,1,23,7,16,12,1,1,1,15,180,69,1
1.330903,33,3,1,0,1,12,0,40000,1,23,10,13,10,1,2,1,40,400,491,1
0.859147,21,3,1,0,1,12,0,85000,1,23,12,11,16,0,0,0,5,80,289,2
1.154655,36,1,1,0,1,12,1,22500,1,23,5,18,15,0,0,0,7,105,289,1
1.063336,36,3,1,0,1,12,1,15000,1,23,8,15,10,0,0,0,10,100,491,2
0.629424,18,3,1,0,1,12,0,22500,1,23,10,13,10,0,0,0,20,200,289,1
3.269881,36,3,1,0,1,12,1,15000,1,23,16,7,1,1,1,1,500,500,953,1
1.446449,23,3,1,0,1,24,1,22500,1,23,7,16,20,1,1,0,30,600,289,1
3.184952,36,2,1,2,0,25,1,5000,1,23,10,13,2,0,0,0,2,4,202,1
0.657325,15,2,1,0,1,12,0,15000,1,23,7,16,1,0,0,0,100,100,491,1
1.216382,14,3,1,0,1,20,1,40000,1,23,11,12,40,0,0,0,1,40,491,1
1.223893,14,1,1,0,1,24,0,15000,1,23,8,15,1,1,3,1,311,311,953,1
0.612523,15,2,1,0,1,12,0,15000,1,23,15,8,6,1,1,1,15,90,953,2
1.173192,24,2,1,2,0,24,1,15000,1,23,7,16,5,0,0,0,35,175,289,2
0.992058,24,2,1,0,1,12,1,15000,1,23,7,16,1,1,1,0,35,35,491,2
0.535427,16,3,1,0,1,24,0,15000,1,23,9,14,26,1,1,0,10,260,491,1
1.025148,24,3,1,0,1,12,0,15000,1,23,7,16,12,1,1,0,2,24,953,2
0.142067,35,1,1,0,1,24,0,40000,1,23,18,5,1,1,1,1,15,15,953,2
1.052348,24,2,1,0,1,22,0,15000,1,23,11,12,4,0,0,0,5,20,139,2
0.60193,26,3,1,0,1,24,1,40000,1,23,6,17,20,1,1,1,5,100,45,1
1.536621,26,3,1,0,1,10,1,5000,1,23,11,12,4,0,0,0,20,80,289,1
1.142868,24,3,1,4,0,22,0,40000,1,23,10,13,4,0,0,0,5,20,491,2
0.9213,48,1,1,0,1,12,1,15000,1,23,7,16,6,1,1,1,40,240,289,1
0.659806,13,2,1,0,1,12,1,40000,1,23,0,23,1,1,1,1,45,45,491,2
1.857974,38,2,1,0,1,10,0,15000,1,23,7,16,1,0,0,0,25,25,289,1
0.881458,47,2,1,0,1,11,1,40000,1,23,8,15,12,1,1,1,40,480,953,2
0.486143,49,2,1,0,1,12,0,15000,1,23,15,8,10,0,0,0,25,250,202,1
1.150007,21,1,0,0,1,24,0,62500,1,23,11,12,4,1,1,1,10,40,69,1
0.690122,18,2,1,0,1,12,1,27500,1,23,13,10,12,0,0,0,20,240,202,2
2.970392,34,1,1,0,1,24,0,27500,0,23,6,17,5,0,0,0,10,50,953,2
1.020913,34,3,1,0,1,12,0,15000,1,23,10,13,41,1,4,1,3,123,491,2
1.011419,11,3,1,0,1,8,1,27500,1,23,14,9,3,1,1,1,200,600,202,2
0.803038,43,3,1,0,1,12,1,27500,1,23,7,16,56,1,3,1,15,840,491,1
0.85028,1,2,1,0,1,12,1,15000,1,23,14,9,2,0,0,0,25,50,491,2
0.812242,43,2,1,0,1,20,1,27500,1,23,8,15,2,1,1,0,75,150,491,1
1.436951,10,3,1,0,1,12,1,27500,1,23,11,12,20,0,0,0,10,200,491,2
0.832821,1,3,1,0,1,12,1,22500,1,23,16,7,1,0,0,0,22,22,491,1
0.731004,19,3,1,0,1,11,1,40000,1,23,9,14,10,1,1,0,4,40,69,1
0.766042,19,3,1,0,1,12,1,27500,1,23,17,6,90,1,3,1,10,900,45,1
0.765392,19,2,1,0,1,23,1,40000,1,23,14,9,15,1,2,1,20,300,202,1
0.766042,19,2,1,0,1,21,1,40000,1,23,8,15,20,1,0,0,5,100,202,1
1.24831,4,2,1,0,1,12,1,15000,1,23,12,11,24,0,0,0,45,1080,953,1
2.220401,44,3,1,0,1,12,1,27500,1,23,14,9,16,1,2,1,15,240,27,1
1.120851,4,2,1,0,1,20,0,15000,1,23,0,29,3,0,0,0,5,15,202,2
0.673692,4,3,1,0,1,22,1,15000,1,23,11,12,20,1,1,1,15,300,491,1
0.700992,25,2,1,0,1,24,1,40000,1,23,10,13,40,1,1,1,2,80,202,1
2.242423,44,3,1,0,1,20,1,22500,1,23,7,16,20,0,0,0,1,20,953,1
2.323035,44,2,1,0,1,23,0,5000,1,23,18,5,3,1,1,0,3,9,289,1
0.730395,37,3,1,0,1,12,1,40000,1,23,7,16,50,1,1,1,3,150,289,1
0.229472,42,3,1,0,1,12,1,15000,1,23,8,15,15,1,1,1,6,90,491,2
0.35615,42,2,1,0,1,23,1,22500,1,23,9,14,2,1,1,1,30,60,491,2
0.30799,35,2,1,0,1,23,1,15000,1,23,8,15,1,0,0,0,50,50,289,2
1.23263,37,1,1,2,0,24,0,15000,1,23,8,15,3,0,0,0,50,150,9,1
0.268574,27,3,1,0,1,12,0,22500,1,23,11,12,30,1,1,0,10,300,491,1
0.241702,51,2,1,0,1,20,0,40000,1,23,9,14,8,0,0,0,10,80,289,2
0.644308,6,2,1,0,1,12,1,15000,1,23,8,15,11,0,0,0,10,110,953,2
0.507758,27,2,1,0,1,12,0,27500,1,23,11,12,10,0,0,0,40,400,491,2
0.2655,27,2,1,0,1,12,1,15000,1,23,5,18,6,1,1,1,150,900,953,2
1.274563,6,3,1,0,1,22,1,27500,1,23,16,7,1,0,0,0,125,125,202,2
0.311818,20,1,1,0,1,21,1,40000,1,24,10,14,4,0,0,0,30,120,202,1
1.530217,33,1,1,0,1,21,1,15000,1,24,10,14,3,0,0,0,4,12,289,2
1.351319,33,2,1,0,1,12,0,15000,1,24,10,14,5,1,1,0,6,30,202,1
0.54488,22,2,1,0,1,12,0,27500,1,24,9,15,13,0,0,0,21.923077,285,202,1
0.231162,30,3,1,0,1,22,0,27500,1,24,12,12,35,0,0,0,5,175,289,1
1.682067,40,3,1,0,1,24,1,22500,1,24,12,12,15,1,1,0,1,15,491,1
0.48811,49,3,1,0,1,12,1,15000,1,24,13,11,10,0,0,0,5,50,45,1
0.48811,49,3,1,0,1,23,1,27500,1,24,12,12,10,1,3,1,10,100,99,1
3.501866,40,2,1,0,1,12,0,27500,1,24,12,12,6,1,1,0,15,90,202,1
1.682067,40,3,1,0,1,12,1,40000,1,24,12,12,15,1,1,1,8,120,202,1
1.682067,40,3,1,0,1,21,1,22500,1,24,15,9,3,1,2,1,6.666667,20,491,2
1.416403,23,2,1,0,1,12,1,40000,1,24,10,14,40,1,2,0,6,240,491,1
1.416403,23,3,1,0,1,24,0,22500,1,24,12,12,11,1,2,1,36.363636,400,202,1
2.282781,23,2,1,0,1,20,1,40000,1,24,14,10,1,1,1,1,50,50,289,1
2.282781,23,3,1,0,1,20,0,27500,1,24,11,13,12,0,0,0,10,120,289,1
1.088358,36,2,1,0,1,12,1,22500,1,24,9,15,1,0,0,0,30,30,289,2
0.621476,15,2,1,0,1,22,1,22500,1,24,10,14,8,0,0,0,2,16,491,2
1.191746,14,2,1,0,1,12,0,15000,1,24,16,8,1,1,1,1,3,3,491,1
0.635538,26,3,1,0,1,12,1,15000,1,24,19,5,14,0,0,0,1.428571,20,202,1
0.934046,50,3,1,0,1,10,1,40000,1,24,13,11,3,1,3,0,150,450,491,1
1.025148,24,2,1,0,1,22,1,40000,1,24,15,9,3,1,1,1,15,45,953,2
0.944449,50,1,1,0,1,23,0,15000,1,24,11,13,5,0,0,0,60,300,139,1
0.468787,17,2,1,0,1,12,0,15000,1,24,9,15,2,1,1,0,44,88,289,1
2.516513,26,3,1,0,1,9,1,40000,1,24,15,9,1,0,0,0,140,140,202,1
0.60193,26,3,1,0,1,23,1,40000,1,24,20,4,15,1,3,1,8,120,289,1
1.038282,24,1,1,0,1,12,1,40000,1,24,12,12,6,1,2,0,5,30,289,2
0.964322,50,2,1,0,1,12,1,15000,1,24,10,14,30,1,2,1,10,300,953,2
0.568304,16,2,1,0,1,8,0,15000,1,24,12,12,6,0,0,0,10,60,289,2
0.96163,24,2,1,4,0,12,1,40000,1,24,12,12,3,1,1,1,5,15,289,1
0.566235,16,1,1,0,1,21,1,22500,1,24,16,8,2,1,1,1,75,150,289,1
0.934046,50,1,1,0,1,22,1,27500,1,24,12,12,6,0,0,0,25,150,491,2
0.918714,48,3,1,0,1,12,1,27500,1,24,11,13,2,1,1,1,100,200,139,1
1.079923,38,3,1,4,0,8,0,27500,1,24,13,11,14,0,0,0,10,140,491,1
0.623601,13,1,1,0,1,12,1,40000,0,24,8,16,4,0,0,0,125,500,289,2
0.271742,13,3,1,0,1,11,0,15000,0,24,10,14,15,0,0,0,25,375,139,1
10.456733,5,1,1,0,1,12,1,40000,1,24,10,14,1,1,1,1,1200,1200,289,1
0.904853,48,1,1,0,1,23,1,40000,1,24,10,14,8,1,1,0,25,200,27,1
0.627331,18,1,1,0,1,21,1,62500,1,24,12,12,30,1,3,1,50,1500,491,1
2.176796,18,2,1,0,1,12,1,40000,1,24,15,9,6,1,1,0,15,90,69,1
0.639002,18,2,1,0,1,23,1,40000,1,24,9,15,16,0,0,0,7,112,953,2
0.633905,18,3,1,0,1,11,1,27500,1,24,11,13,3,1,1,0,12,36,99,1
0.684618,18,3,1,0,1,12,0,15000,1,24,14,10,70,1,1,1,10,700,289,1
2.04028,34,2,1,0,1,12,0,27500,1,24,10,14,6,0,0,0,35,210,289,1
0.812242,43,3,1,0,1,12,1,40000,1,24,8,16,36,1,2,1,5,180,99,1
0.861609,1,1,1,0,1,12,1,40000,1,24,12,12,23,1,1,0,10,230,27,1
0.803038,43,3,1,0,1,10,1,15000,1,24,12,12,10,1,1,1,5,50,491,2
1.469088,10,1,1,0,1,12,1,27500,1,24,7,17,1,0,0,0,500,500,953,2
0.852649,1,3,1,4,0,12,1,15000,1,24,17,7,22,1,11,1,22.727273,500,491,1
1.436951,10,3,1,0,1,12,0,40000,1,24,14,10,20,1,2,1,20,400,139,1
0.801048,43,2,1,0,1,21,1,27500,1,24,17,7,5,0,0,0,10,50,289,2
0.733726,19,3,1,0,1,1,0,27500,1,24,20,4,28,1,3,1,100,2800,139,1
0.362723,32,1,0,0,1,12,0,15000,1,24,10,14,2,0,0,0,25,50,289,2
0.720893,32,3,1,0,1,12,1,5000,1,24,10,14,2,0,0,0,12,24,202,2
0.359811,32,2,1,0,1,23,1,15000,1,24,12,12,1,0,0,0,15,15,953,2
0.731004,19,3,1,0,1,10,1,5000,1,24,10,14,27,1,1,1,1,27,139,1
0.632521,4,2,1,0,1,21,0,15000,1,24,17,7,2,1,0,0,75,150,491,1
1.475009,19,1,1,2,0,23,1,5000,1,24,16,8,1,0,0,0,500,500,491,1
0.608143,4,3,1,0,1,12,1,22500,1,24,11,13,6,1,1,1,7,42,202,1
2.242423,44,3,1,0,1,12,1,40000,1,24,13,11,30,1,2,1,30,900,139,1
0.589747,4,2,1,0,1,11,0,5000,1,24,12,12,14,0,0,0,20,280,289,1
2.197845,44,1,1,0,1,12,1,40000,1,24,15,9,3,0,0,0,15,45,202,1
0.700359,25,3,1,0,1,21,1,22500,1,24,19,5,8,1,3,1,10,80,953,1
2.239318,44,2,1,0,1,12,1,27500,1,24,17,7,25,1,1,0,8,200,953,1
0.751323,37,2,1,0,1,21,1,15000,1,24,13,11,1,0,0,0,45,45,27,1
0.658464,3,1,1,0,1,22,0,85000,1,24,12,12,1,1,1,1,425,425,289,2
0.4059,45,1,1,0,1,10,1,15000,1,24,8,16,1,1,1,1,100,100,139,1
0.41666,45,2,1,0,1,23,1,5000,1,24,8,16,2,0,0,0,30,60,289,2
0.212488,42,1,1,0,1,12,1,15000,1,24,8,16,17,0,0,0,30,510,99,1
0.14199,35,2,1,0,1,26,1,40000,1,24,18,6,1,0,0,0,40,40,491,2
0.767521,37,3,1,3,0,12,1,15000,1,24,15,9,80,1,1,0,7,560,202,1
0.818598,37,2,1,0,1,24,1,40000,1,24,18,6,3,1,1,1,300,900,953,2
0.239064,51,2,1,0,1,12,0,15000,1,24,12,12,2,1,2,1,10,20,27,1
0.239064,51,2,1,0,1,24,0,22500,1,24,16,8,30,1,2,1,15,450,491,1
0.704496,45,2,1,0,1,26,1,22500,1,24,11,13,2,0,0,0,15,30,45,1
0.239064,51,2,1,0,1,12,1,15000,1,24,11,13,5,1,1,1,20,100,289,1
0.468787,17,1,1,0,1,23,0,5000,1,24,18,6,10,1,1,0,10,100,491,1
0.410213,28,3,1,0,1,22,1,40000,1,24,10,14,8,1,2,1,50,400,491,1
0.255541,51,2,1,0,1,25,0,15000,1,24,17,7,1,1,1,1,200,200,289,1
0.265854,27,2,1,4,0,9,1,15000,1,24,9,15,3,1,1,0,20,60,202,2
0.236784,30,2,1,0,1,22,0,22500,1,25,9,16,6,1,2,0,300,1800,491,1
0.238924,30,2,1,0,1,12,1,40000,1,25,15,10,7,1,1,1,10,70,953,1
2.332548,33,1,1,0,1,26,0,22500,1,25,13,12,4,1,1,1,20,80,491,1
0.751915,7,2,1,0,1,12,1,40000,1,25,4,21,20,0,0,0,5,100,139,1
2.703093,33,2,1,0,1,9,1,27500,1,25,11,14,20,1,1,0,2,40,491,1
0.304395,20,3,1,0,1,20,1,27500,1,25,12,13,3,0,0,0,63,189,491,1
0.178656,46,1,1,0,1,23,1,40000,1,25,12,13,4,0,0,0,10,40,289,2
1.085206,22,2,1,0,1,12,1,62500,1,25,14,11,2,0,0,0,80,160,491,2
0.643235,20,2,1,4,0,12,1,5000,1,25,16,9,10,1,1,0,5,50,289,2
